trial,timestamp,lookback_period,min_range_duration,max_range_pct,breakout_threshold,swing_window,merge_threshold,min_touches,grid_spacing,exit_profit,stop_loss,decay_factor,max_entries,score,total_trades,win_trades,win_rate,net_profit,max_drawdown,profit_factor,market_changes,trading_pct
0,2026-03-12T00:49:34.016671,59,20,0.20979909127171076,0.0379597545259111,3,0.02467983561008608,2,0.01799264218662403,0.014016725176148132,0.09956508044572318,0.308233797718321,6,0.67318299883807,24,23,95.83333333333334,1856.8299883806988,0.0,1.0,0,100.0
1,2026-03-12T00:50:22.253431,82,8,0.1272737450810651,0.025502135295603016,4,0.035742692948967134,3,0.009368437102970629,0.014177793420835692,0.05976457024564293,0.41685785941408726,3,0.0846419657672555,74,57,77.02702702702703,-3464.391153138256,0.0,1.0,0,100.0
2,2026-03-12T00:51:04.924110,63,17,0.12995106732375397,0.035427033152408346,5,0.021393512381599932,4,0.007557861855309373,0.005975773894779193,0.11642198760773333,0.6862528132298237,6,0.3707961563972512,60,56,93.33333333333333,-1092.0384360274877,0.0,1.0,0,100.0
3,2026-03-12T00:51:40.104336,55,6,0.20263495397682355,0.03320457481218804,3,0.03485530730333811,2,0.01863980603118173,0.008881699724000254,0.09637655990477874,0.42468443043576437,4,0.8330637396500096,30,30,100.0,3330.6373965000953,0.0,1.0,0,100.0
4,2026-03-12T00:52:14.897287,67,7,0.24543769416468378,0.04325398470083344,7,0.04684482051282947,4,0.018828113525346753,0.006327387530778793,0.06371880036934016,0.3180909155642152,3,0.8058237306543083,29,29,100.0,3058.2373065430834,0.0,1.0,0,100.0
5,2026-03-12T00:52:47.158222,59,9,0.2243106263727894,0.03070259980080768,4,0.03628088249474746,2,0.017032954711310593,0.006118259655196563,0.1190820855620362,0.6088979077186629,2,0.588870552571575,27,26,96.29629629629629,999.816636826861,0.0,1.0,0,100.0
6,2026-03-12T00:53:18.506933,40,18,0.20602860157714256,0.04187021504122962,6,0.022221339552022712,3,0.006738035892876946,0.0179465513881339,0.09363086887792905,0.43235920994105964,2,0.5655963810662534,46,39,84.78260869565217,1112.4855497929686,0.0,1.0,0,100.0
7,2026-03-12T00:53:49.186659,55,10,0.2094409267507096,0.0391267241406564,7,0.034166447754858484,2,0.015698671808344923,0.01641177572925346,0.08928940382986474,0.6083868719818244,4,0.6023879032386596,26,23,88.46153846153845,1370.032878540442,0.0,1.0,0,100.0
8,2026-03-12T00:54:31.087870,66,11,0.10381286901161428,0.023236742809799135,3,0.03909231233791342,3,0.01262856036747054,0.018613497108891396,0.06745045604042124,0.46415316921425187,5,0.46504400267821583,57,45,78.94736842105263,282.0189741505794,0.0,1.0,0,100.0
9,2026-03-12T00:55:05.705497,51,6,0.14346271793706522,0.024836638617620133,7,0.04424361138693251,4,0.018071908852815764,0.017055081153486716,0.06305990412202252,0.6570235993959911,4,0.9640419842412766,37,34,91.8918918918919,4883.66308565601,0.0,1.0,0,100.0
10,2026-03-12T00:55:42.234695,41,14,0.16449657977572996,0.04796871025735362,6,0.047229943858475544,5,0.01433353211024763,0.010924190875998482,0.05086178186954562,0.5554550236510891,5,0.5305596740750835,35,30,85.71428571428571,734.1681693222636,0.0,1.0,0,100.0
11,2026-03-12T00:56:15.510406,49,5,0.1709071009986923,0.029548587503744245,5,0.04228460856370327,5,0.019461215305188812,0.009928518161047966,0.07419856216737868,0.6978519260725299,4,0.8971407264419187,32,32,100.0,3971.4072644191865,0.0,1.0,0,100.0
12,2026-03-12T00:56:48.362221,49,5,0.16601157669587566,0.026814170349526354,5,0.04225099811309113,5,0.019765593614996406,0.010480863268885348,0.07726423379780108,0.6990002372516468,3,1.0589793743405518,32,32,100.0,5589.793743405519,0.0,1.0,0,100.0
13,2026-03-12T00:57:14.748798,48,5,0.1529502541540038,0.020119918222579986,6,0.04260488444447206,5,0.015337337344772935,0.01290014798194352,0.07770837600676529,0.6355321830482255,3,0.47905371515196077,22,19,86.36363636363636,199.62806061051683,0.0,1.0,0,100.0
14,2026-03-12T00:57:52.775646,73,13,0.14425270560323283,0.027017807821550627,4,0.04931799396785235,4,0.011255221023847989,0.016586789850915454,0.08033384501213484,0.551731466411926,3,0.3168836651274819,48,39,81.25,-1268.6633487251809,0.0,1.0,0,100.0
15,2026-03-12T00:58:26.717232,48,7,0.18337518766177166,0.020256052452486323,6,0.029850687550848784,5,0.016685488751380585,0.019676109430180055,0.0557473433124754,0.6566856348631016,5,0.4327098982295457,35,26,74.28571428571429,98.5275537240283,0.0,1.0,0,100.0
16,2026-03-12T00:58:54.461396,77,15,0.18475809273440644,0.02499134288319903,7,0.04330518227898338,4,0.014006990673593782,0.008425493156330864,0.06977660774275038,0.5504449766021401,2,0.9049981740000776,29,28,96.55172413793103,4153.430015862846,0.0,1.0,0,100.0
17,2026-03-12T00:59:27.093126,90,11,0.10201245316807328,0.029067362447808543,5,0.039729943581624405,5,0.019902893048091584,0.011312682520685976,0.10518056372130508,0.5957488671234509,3,1.1033430677699188,32,32,100.0,6033.430677699187,0.0,1.0,0,100.0
18,2026-03-12T00:59:57.883619,88,11,0.10286743549840385,0.029993294071707897,5,0.030297957316214666,5,0.01989102662288887,0.011359314069014583,0.108745372273419,0.5891772664555808,3,1.1058300836807777,32,32,100.0,6058.300836807777,0.0,1.0,0,100.0
19,2026-03-12T01:00:30.312200,88,11,0.10884130137722582,0.03147587445922695,4,0.029700222923732124,5,0.0199620474272146,0.012401205312771533,0.10623099402457056,0.5157927595448767,2,1.1235099001145097,30,29,96.66666666666667,6335.099001145098,0.0,1.0,0,100.0
20,2026-03-12T01:01:00.068665,90,12,0.11831566907279463,0.032830026300254736,4,0.02857558200692937,5,0.005258127524001644,0.014562575882875153,0.11017915630691828,0.4981151056471398,2,1.1089836834274887,43,40,93.02325581395348,6299.139159856282,0.0,1.0,0,100.0
21,2026-03-12T01:01:28.923757,90,12,0.12355844851575724,0.03306157892785163,4,0.028758891225611493,5,0.005800613692016874,0.015092520102241228,0.11127661465442869,0.48035408871362945,2,1.0389834995490985,40,37,92.5,5614.8349954909845,0.0,1.0,0,100.0
22,2026-03-12T01:01:56.232843,83,15,0.11350333191561529,0.03527596302474143,4,0.029902343735413926,5,0.010247729413580754,0.012346268826127908,0.10630272750642261,0.5159697181177418,2,1.2439868299777312,34,33,97.05882352941177,7528.103593894959,0.0,1.0,0,100.0
23,2026-03-12T01:02:24.893370,84,15,0.11668679889233684,0.03591330058245742,4,0.026571614796883643,4,0.009092970019661093,0.012928599945875165,0.10436725777861401,0.528667055420601,2,1.0931999901547906,37,35,94.5945945945946,6094.162063710069,0.0,1.0,0,100.0
24,2026-03-12T01:02:53.457017,83,16,0.11772671097807602,0.03301546640002652,4,0.031056766489206303,5,0.005143801228694292,0.014720390720282034,0.11362488651029941,0.5078558076716126,2,1.0989221906428184,43,40,93.02325581395348,6198.524232009579,0.0,1.0,0,100.0
25,2026-03-12T01:03:20.257039,76,13,0.13383338649856896,0.03767377344921896,3,0.02578655588572668,5,0.010579255149689418,0.012438082799666605,0.10222652259046405,0.4643093430982022,2,1.230389408406259,33,32,96.96969696969697,7394.803174971683,0.0,1.0,0,100.0
26,2026-03-12T01:03:45.832397,75,14,0.1348570870383604,0.04037492653983138,3,0.0251468147340303,4,0.011012986167754443,0.012318929137032543,0.08555846476167754,0.3720201412660767,2,0.5961017282090952,28,25,89.28571428571429,1282.4458535195238,0.0,1.0,0,100.0
27,2026-03-12T01:04:13.790082,79,13,0.11066155563911702,0.04650090625560335,3,0.03237176251405661,5,0.009900280234861917,0.008935361832047626,0.10253316397378905,0.46410369798809503,2,1.0171779170363613,36,35,97.22222222222221,5255.112503696946,0.0,1.0,0,100.0
28,2026-03-12T01:04:45.151313,70,18,0.1387490987440958,0.03718229936345373,3,0.02348242642010011,4,0.012304315965360822,0.01253459486628104,0.09088029242464743,0.38784278453194326,3,0.5796553068594097,30,27,90.0,1096.5530685940964,0.0,1.0,0,100.0
29,2026-03-12T01:05:16.173012,86,19,0.15484134852840623,0.04483529733383351,3,0.02635269570436516,5,0.00803967944924201,0.013137893650652661,0.09880131711930887,0.4522382906745906,2,0.055702623235365345,39,33,84.61538461538461,-3981.435306107885,0.0,1.0,0,100.0
30,2026-03-12T01:05:45.075219,80,9,0.15466489199706734,0.03794198144859044,3,0.02028611103330901,3,0.01068865708794733,0.01571871918050113,0.10016275939275772,0.5168575423173408,2,1.119438504912866,31,29,93.54838709677419,6387.933436225433,0.0,1.0,0,100.0
31,2026-03-12T01:06:11.289722,81,9,0.1534513448320783,0.03866513050813359,3,0.024203242651956107,3,0.010686312907679366,0.015469819636380158,0.10024218725202179,0.5109045325506443,2,1.100996148667775,31,29,93.54838709677419,6203.509873774525,0.0,1.0,0,100.0
32,2026-03-12T01:06:37.509850,85,9,0.12484272331191909,0.03706453099604437,3,0.02724805687399306,3,0.011841210009672372,0.013785772342121782,0.10545191912188759,0.528167190800537,2,0.19371827400868213,27,23,85.18518518518519,-2618.372815468734,0.0,1.0,0,100.0
33,2026-03-12T01:07:07.464927,79,10,0.13231599022240473,0.0349635694357028,4,0.021494353071854367,3,0.013326057631552974,0.012145223541607287,0.09614967241571577,0.5722667347811636,3,0.7262781905559541,30,28,93.33333333333333,2462.7819055595414,0.0,1.0,0,100.0
34,2026-03-12T01:07:40.437797,73,16,0.10972862070778204,0.04069511638096558,4,0.02014284588134421,2,0.009305153029641449,0.014145297444639,0.11554413135408027,0.4853672792360501,6,0.34231963667783977,36,31,86.11111111111111,-1160.1369665549362,0.0,1.0,0,100.0
35,2026-03-12T01:08:06.782250,80,14,0.1464850792875698,0.035628739859429166,3,0.032935178576421156,4,0.010493571816625339,0.013655679815906966,0.10909475064056857,0.38740723207531613,2,1.0985923644825826,36,34,94.44444444444444,6152.590311492492,0.0,1.0,0,100.0
36,2026-03-12T01:08:39.074557,86,8,0.12703462668087692,0.031270097824831936,4,0.02291328579759934,3,0.00849404361908855,0.01590220706918337,0.11913898998553699,0.5254545960320101,3,0.0,41,34,82.92682926829268,-4888.298159108739,0.0,1.0,0,100.0
37,2026-03-12T01:09:20.379679,69,10,0.11480515233760935,0.03447916643811046,3,0.02584983262763945,4,0.01004727719134907,0.007464287276933429,0.10001113691712432,0.4437619037648896,2,1.1287243156229168,63,61,96.82539682539682,6382.481251467263,0.0,1.0,0,100.0
38,2026-03-12T01:09:56.576441,62,12,0.11375993704682594,0.03451814667378711,4,0.02538850371329967,4,0.007223729165609826,0.007647881520431216,0.09448913440885703,0.43502315629282473,3,0.9224727138282272,47,46,97.87234042553192,4288.5569255163155,0.0,1.0,0,100.0
39,2026-03-12T01:10:38.077057,69,10,0.10662274995275442,0.03197234855283928,3,0.02823359447866962,5,0.009698104308964454,0.0069625862490044705,0.08971399601682631,0.36048808253676595,2,0.8219659376187951,61,58,95.08196721311475,3367.200359794509,0.0,1.0,0,100.0
40,2026-03-12T01:11:06.405074,76,20,0.24607541056000976,0.042026487650877416,4,0.036540947322481546,5,0.011985188424897847,0.009719169415693884,0.08594557053284184,0.4113958714799868,2,1.1272300642077768,36,35,97.22222222222221,6355.633975411102,0.0,1.0,0,100.0
41,2026-03-12T01:11:31.852577,76,19,0.2319763807511407,0.04289599984247152,4,0.03512339082145092,5,0.012936479825725811,0.010230879080011848,0.0847890178474233,0.4099249155461923,2,0.4177425286296219,26,23,88.46153846153845,-476.4208675499349,0.0,1.0,0,100.0
42,2026-03-12T01:12:01.164148,70,20,0.19577701721624832,0.04002585957924987,5,0.03691822785034841,5,0.011593934417014161,0.009465110916402463,0.10696176533809866,0.3314904977446145,2,0.7530589345370493,36,34,94.44444444444444,2697.2560120371604,0.0,1.0,0,100.0
43,2026-03-12T01:12:38.559531,63,17,0.22249625794251665,0.04383107319453504,3,0.037515854651151606,5,0.010138106797806223,0.0050707232481728825,0.10139458321503447,0.43989558024527403,2,0.8872615253352256,52,51,98.07692307692307,3930.3075610445635,0.0,1.0,0,100.0
44,2026-03-12T01:13:09.001301,73,13,0.24640705254125925,0.03418734220445864,4,0.03205269963903315,5,0.00883754550119054,0.007700706961905811,0.11377194841703026,0.4150884797261089,2,0.06527624863932086,42,38,90.47619047619048,-4061.5232278925055,0.0,1.0,0,100.0
45,2026-03-12T01:13:42.253340,77,20,0.23696555063010963,0.03639231715966735,5,0.03849882069242921,4,0.01202895393597353,0.011495367353860017,0.09253182424648529,0.4811947153631419,3,0.7673060809459984,33,31,93.93939393939394,2854.878991278166,0.0,1.0,0,100.0
46,2026-03-12T01:14:17.663087,67,11,0.21891469304522435,0.041804270472260006,4,0.034091896693796614,5,0.014280696490295565,0.009177306582727513,0.09764443715953501,0.45784006630580815,2,0.9384982505598021,43,41,95.34883720930233,4524.51738931895,0.0,1.0,0,100.0
47,2026-03-12T01:14:49.684412,82,15,0.1222731395901894,0.028670921290794394,3,0.027591840394620797,5,0.01343723397533068,0.00811497060800146,0.08574116292375607,0.4138228269316811,5,0.6480305359614491,31,30,96.7741935483871,1577.0795531628773,0.0,1.0,0,100.0
48,2026-03-12T01:15:21.996406,74,8,0.13672453701744097,0.038888172774236514,5,0.029429946346167343,4,0.017187086965084867,0.010671401874264432,0.10234603086561322,0.49032591534262826,3,0.7442793568612218,25,24,96.0,2562.793568612219,0.0,1.0,0,100.0
49,2026-03-12T01:15:53.439974,71,10,0.1292655743823857,0.027816132468734468,4,0.03126486867577452,5,0.015345039830783155,0.006562555686266486,0.09558280898012773,0.4442641841577602,4,0.6084141324020005,30,29,96.66666666666667,1184.1413240200045,0.0,1.0,0,100.0
